LAMMPS data generated from YCOR400.gro

31200 atoms
6 atom types

0.000000 75.29860000 xlo xhi
0.000000 75.29860000 ylo yhi
0.000000 75.29860000 zlo zhi

Masses

1 12.0110000000 # C
2 18.9984031630 # F
3 1.0080000000 # H
4 14.0070000000 # N
5 15.9990000000 # O
6 32.0600000000 # S

Atoms # atomic

463 1 39.42000000 72.34000000 11.46000000
464 3 39.87000000 72.05000000 10.51000000
465 1 38.82000000 71.43000000 12.24000000
466 3 39.05000000 70.38000000 12.08000000
467 1 37.97000000 71.78000000 13.21000000
468 3 37.40000000 71.03000000 13.75000000
469 2 12.27000000 74.64000000 36.36000000
470 1 13.03000000 0.43000000 36.14000000
471 1 12.38000000 1.63000000 35.98000000
472 3 11.43000000 1.64000000 35.45000000
473 1 13.07000000 2.81000000 36.16000000
474 1 12.60000000 4.23000000 35.96000000
475 1 11.40000000 4.65000000 35.42000000
476 1 10.21000000 4.83000000 36.24000000
477 4 9.60000000 5.05000000 37.20000000
478 1 11.18000000 4.49000000 34.02000000
479 4 11.00000000 4.31000000 32.90000000
480 1 13.79000000 5.11000000 36.34000000
481 1 14.97000000 4.24000000 36.64000000
482 5 16.14000000 4.55000000 36.85000000
483 1 14.43000000 2.82000000 36.50000000
484 1 15.11000000 1.59000000 36.58000000
485 3 16.11000000 1.53000000 37.01000000
486 1 14.42000000 0.40000000 36.36000000
487 2 14.97000000 74.48000000 36.39000000
488 1 13.74000000 6.48000000 36.22000000
489 3 12.80000000 7.03000000 36.14000000
490 1 14.72000000 7.47000000 36.42000000
491 1 15.28000000 7.73000000 37.66000000
492 1 14.83000000 7.22000000 39.00000000
493 3 14.31000000 6.26000000 38.94000000
494 3 15.70000000 7.03000000 39.64000000
495 3 14.20000000 7.96000000 39.49000000
496 1 16.31000000 8.74000000 37.55000000
497 1 16.44000000 9.21000000 36.29000000
498 6 15.39000000 8.50000000 35.15000000
499 1 17.32000000 10.31000000 36.27000000
500 4 17.87000000 11.19000000 35.29000000
501 1 17.56000000 11.21000000 33.86000000
502 3 16.53000000 10.90000000 33.67000000
503 3 17.72000000 12.14000000 33.32000000
504 3 18.16000000 10.43000000 33.39000000
505 1 18.82000000 12.03000000 35.87000000
506 1 19.83000000 13.22000000 35.30000000
507 1 20.72000000 13.91000000 36.18000000
